topicid;topic;title;content
7;سایر;مهمترین واقعه تاریخی;به نظر شما مهمترین و بزرگترین واقعه تاریخی در طول زندگی بشر کدام واقعه بوده و از چه نظر اهمیت دارد؟
7;سایر;جداسازی برچسب ها در پرسک;چرا برای جداسازی برچست ها در پرسک باید از - به جای _ استفاده بشه؟
7;سایر;کیفیت اساتید حل تمرین;آیا حمید نصیری استاد حل تمرین خوبی هست و از او راضی هستید؟
7;سایر;مرزهای جغرافیایی و وطن;مفهوم وطن چیست؟ آیا وطن و کشور صرفا یکسری خطوط جغرافیایی نیستند؟ و چه عاملی باعث می شود تا به افراد ساکن در این محدوده های جغرافیایی حس وطن پرستی دست دهد؟
7;سایر;فرض وجود چه مجموعه هایی منجر به پارادوکس راسل می گردد؟;چرا فرض وجود مجموعه ی همه ی توابع منجر به پارادوکس راسل می شود ولی فرض وجود مجموعه ی همه ی توابع پیوسته روی بازه ی )0,1( خیر?
7;سایر;آیا میتوان به تبلیغات اعتماد کرد؟;با توجه به مطالبی که اخیرا راجب کارخانه ها و شرکتهای معروف شنیده شده ، می توان به تبلیغات اعتماد کرد؟ به چه نوع تبلیغاتی می توانیم اعتماد کنیم؟
7;سایر;اطلاعیه زدن در برد دانشکده کامپیوتر;"اگه بخواهیم اطلاعیه ای رو تو برد دانشکده کامپیوتر دانشگاه امیرکبیر بچسبونیم آیا از نهاد خاصی باید مجوز بگیریم؟

شنیدم بعضی از دانشگاه ها مثل شریف اگه معاونت فرهنگی پای اطلاعیه مهر نزده باشه اطلاعیه رو از روی برد می کنند."
7;سایر;ریشه و فلسفه واژه OK ؟؟؟؟؟;کسی میدونه واژه OK (اوکی ) که الان تو هر زبانی جزو پرکاربردترین واژه ها شده، از کجا و چطور پیدا شد؟
18;سلامت;بهترین فست فود سالم چیه؟;"سلام

میگن فست فود نخورین چون برای سلامت ضرر داره. اما بعضی وقتا اگه آدم محبور بشه چطور؟ کسی میدونه بهترین فست فود که سالم هم باشه چیه؟"
18;سلامت;آنتی بیوتیک های بتالاکتام;سلام. آنتی بیوتیک های بتالاکتام کدام ها هستند؟ مهم ترین عوارض آن ها کدام اند؟
18;سلامت;تراشیدن و برای پرپشت شدن;سلام. آیا این باور قدیمی که تراشیدن سر باعث پرپشت شدن آن می شود از نظر علمی درست است یا خیر؟
18;سلامت;عامل بیماری ذات الریه چیست؟;سلام. می خواستم بدونم عامل بیماری ذات الریه چیست؟ ویروس است یا باکتری؟
18;سلامت;فرق سرفه خشک و سرفه خلط دار;سلام. خیلی وقتها که سرفه میزنید و دکتر میرید، دکتر میپرسه که چه نوع سرفه ای میزنید سرفه خشک یا خلط دار. تفاوت اینها چیه؟ تشکر.
18;سلامت;قرص مولتی ویتامین;سلام، قرص مولتی ویتامین چه مارکی از بقیه بهتره؟ ایرانی ها بهترن یا خارجی ها؟
18;سلامت;افت فشار خون یا افت قند خون;چگونه بین افت فشار خون و افت قند خون تفاوت قایل شویم؟
18;سلامت;درمان کبد چرب;"در مورد کبد چرب و روند افزایش مبتلایان به این بیماری شنیدیم. برای درمانش یک راه اصولی، قداماتی از قبیل کاهش وزن، افزایش فعالیت بدنی و تغییر رژیم غذایی هستش که البته طولانی و سخته.
از سوی دیگه برخی راههای میانبر و زود بازده هم برای درمانش مطرح میشه مثل خوردن سرکه سیب، چای سبز، طب سنتی و  ...
به نظر شما ایا راه نسبتا راحتی برای رفع این مشکل وجود داره؟ اگه تجربه ای از موفق یا ناموفق بودن برخی روشهای درمان دارید، لطفا به اشتراک بذارید؟"
18;سلامت;برای محافظت در برابر اشعه فرابنفش، چه عینکی بخریم؟;"اشعه فرابنفش و ضررهاش که معرف حضور همه هست و همه ما، کمابیش در معرضش هستیم.

 برای اینکه چشمهامون رو در برابر مضرات اشعه فرابنفش، محافظت کنیم، چه عینکی باید بخریم؟

آیا حتما عینک گران قیمتی نیازه یا با یک هزینه معقول هم میشه عینک باکیفیت خرید؟"
18;سلامت;چطور در کمترین زمان ممکن لاغر بشیم؟;چجوری میشه در سریعترین زمان لاغر شد طوریکه برای بدن هم ضرر نداشته باشه؟
18;سلامت;خواص نمک دریایی;نمک دریایی چه خواصی دارد و تفاوت ان با نمک معمولی چیست؟
18;سلامت;درمان سینوزیت ها;آیا درمان قطعی برای سینوزیت وجود دارد؟ طول درمان و داروهای موثر آن چیست؟
18;سلامت;جلوگیری از ابتلا به سرطان;با توجه به این که امروزه سرطان دیگر مثل گذشته تک و توک بین افراد دیده نمیشه و تقریبا داره تبدیل میشه به بیماری هایی مثل آنفلوانزا یعنی فراگیر و دیگه ناشناخته نیس تو خونواده ها، برای جلوگیری از ابتلا به انواع سرطان ها چه کار میشه کرد؟ چه چیزهایی ازمون مراقبت میکنه در برابرش تا بشه مبارزه کرد؟
18;سلامت;از بین بردن جوش های سرسیاه;چطور میشه جوش های سرسیاه رو نابود کرد؟ یا چطور میشه از جوش های سرسیاه جلوگیری کرد؟
18;سلامت;آلودگی هوا و کنترل آن;به نظر شما برای کنترل آلودگی هوا چه کار هایی می شود انجام داد؟
18;سلامت;صندلی چرخدار یا پایه دار;برای صندلی و میزهای اداری کدام رو پیشنهاد میکنید؟ و به نظرتون کدوم بهتره (از نظر کارایی و تاثیر  و بر ستون فقرات) ؟ صندلی های چرخدار یا صندلی های پایه دار؟
18;سلامت;جلوگیری از ریزش موی سر;تا بحال چه روش هایی برای جلوگیری از ریزش مو استفاده کردید؟ کدوم موثرتر بوده؟
18;سلامت;استفاده از زیورآلات سنگی;آیا واقعا زیورآلاتی که از سنگها درست میشوند بر روی بدن انسان تاثیرات منفی و مثبت دارند؟
18;سلامت;عدم امکان ازدواج در سن دبیرستان و اوایل دانشگاه و نیاز به ارتباط سالم;"سلام

همه میدونیم که امکان ازدواج برای یک نفر در سن دبیرستان یا اوایل دانشگاه - اقلا در فرهنگ ما- وجود نداره. این مشکل (به نظر من) وجود داره که در این سنین، افراد به سن بلوغ رسیدند و نیاز به ارتباط با جنس مخالف که آدمی سالم باشه هم دارند. راه حل این مشکل چیه؟"
18;سلامت;انواع لیزر چشم...;آیا همه نوع مشکل بینایی(نزدیک بینی،دوربینی،پیر چشمی،آستیگمات) را میشود با عمل لیرز بهبود بخشید؟
18;سلامت;خشک کردن سبزیجات;آیا سبزیجاتی که ما به طور معمول خشک میکنیم و در غذا استفاده میکنیم، از خواص اولیه برخوردار هستند؟
18;سلامت;برای بهبود و تصفیه هوا منزل کدام گل یا گیاه بهتره؟;برای اینکه هوای خونه یا دفتر کار تمیزتر بشه، آیا فایده ای داره که گلدون استفاده کنیم؟ اگه بله، چه نوع گیاهی باشه بهتره؟
18;سلامت;به ازای مصرف هر گرم قند چقدر وزن اضافه میشود؟;"سلام

اگر مثلا روزی 10 گرم قند (مثلا با چایی) مصرف کنیم، به ارای آن روزی چقدر وزن اضافه میشود؟ آیا میتوان گفت پاسخ نمیتواند بیش از روزی 10 گرم باشد (با استفاده از قانون بقای جرم یا استدلالی مشابه)؟"
18;سلامت;استفاده از آب معدنی برای محیط زیست;با توجه به اینکه میکن پلاستیک برای طبیعت ضرر داره، چرا آب معدنی و خیلی از نوشیدنی های دیگه در بطری پلاستیکی یک بار مصرف عرضه میشه؟
18;سلامت;حد اکثر تعداد ساعات کار با کامپیوتر;حداکثر چند ساعت در روز میشه با کامپیوتر کار کرد بدون اینکه برای چشم ضرر داشته باشه؟ مرسی.
18;سلامت;بهترین ساعات شب برای خواب چه ساعاتی است؟;بهترین سایتهای شب برای خواب چه زمانی است؟ اصولا چند ساعات باید بخوابیم؟ بهترین ساعت برای کار چه ساعاتی است؟
18;سلامت;خواب در تاریکی یا نور کم؟;سلام. آیا خواب در محلی کاملاً تاریک بهتر است یا در محلی که کمی روشن باشد؟
18;سلامت;عوارض مصرف زیاد قرص آهن;عوارض و علائم مصرف زیاد قرص آهن چیه؟ از کجا بفهمیم کمبود آهن داریم؟
18;سلامت;رشد بیشتر موهای سر;آیا امکانش هست که با دارو یا تغذیه بتوان رشد موهای سر را از حد معمول بیشتر کرد؟
18;سلامت;میزان استراحت بین ست ها در تمرینات;بین هر ست که تمرین انجام میدهیم چه مقدار استراحت لازم است؟ بعضی ها مدت زمان زیادی رو به حرف زدن سپری میکنن چه مقدار مناسب و لازم است؟
18;سلامت;افزایش کلسترول خوب خون;"برای بالابردن کلسترول خوب خون، چه راه هایی هست؟
چه مواد غذایی باعث افزایش کلسترول خوب می شوند؟"
18;سلامت;رفع سردردهای مزمن;برای رفع سردردهای مزمن چه روش هایی رو به جز روش دارویی که همش مواد شیمیایی و پرضرره پیشنهاد میکنید؟ خودتون تجربه ای داشتید برای بهبود و درمانش؟
18;سلامت;توالت ایرانی یا فرنگی;بنظر شما توالت ایرانی بهتره یا توالت فرنگی.علت بهتر بودنشون نسبت به هم چیه؟
18;سلامت;استفاده از چای ایرانی یا خارجی;چرا باوجود اینکه در کشور چای کشت میشود و ما خودمان این محصول را تولید میکنیم.ولی تمایل به استفاده از چای خارجی داریم؟ با توجه به اینکه چای خارجی قیمت بالاتری هم دارد.
18;سلامت;جراحی دندان عقل نهفته;دو تا دندون عقل نهفته دارم که تو ۲۵ سالگی هنوز بیرون نیومدن ولی درد هم نمیکنه و اذیتی ندارن. حتما باید جراحیشون کنم یا اینکه اگرم بمونه مشکلی ایجاد نمیکنه؟
18;سلامت;مصرف گیاهان دارویی;آیا مصرف گیاهان دارویی وداروهای غیر شیمیایی همیشه مفید و غیر مضر است؟
18;سلامت;کاربرد آب های گرم معدنی;آب های گرم معدنی در درمان بیماریها چه تاثیری دارد؟ و برای چه نوع بیماری هایی مفید است؟
18;سلامت;پاکسازی و سلامت کبد با گیاهان دارویی;چه نوع گیاهان دارویی برای سلامت کبد مفید هستند؟ چگونه میتوان با گیاهان به پاکسازی کبد کمک کرد؟
18;سلامت;دلیل مضر بودن ماکروویو;ماکروویو ها چطور کار میکنند که میتونن بر سلامتی افراد  تاثیر نامطلوب بزارن؟ آیا واقعا مضر هستند؟
18;سلامت;چطور میتوان با رقصیدن وزن کم کرد؟;آیا میتوان با رقصیدن وزن کم کرد؟ اگر میشه میتوانید در این زمینه راهنمایی کنید لطفا.
18;سلامت;عرق کردن برای سلامتی خوب است یا بد;آیا عرق کردن زیاد برای سلامتی مفید است؟ یا ضرر دارد؟ یا یک چیز طبیعی است؟
18;سلامت;پیدا کردن رژیم و برنامه های ورزشی;آیا جایی رو میشناسید که رژیم غذایی و برنامه های ورزشی به طور رایگان پیشنهاد بدهد؟
18;سلامت;چالش های ۳۰ یا ۷ روزه مفید هستند؟;آیا چالش های ۳۰ یا ۷ روزه که در اینترنت وجود دارند (مثلا ۳۰ روز دراز نشست یا ۷روز شنا) میتونن مفید باشند؟
18;سلامت;تولید طبیعی تستسترون در بدن;آیا راه طبیعی برای تولید تستسترون در بدن بدون مصرف استرویید وجود دارد؟
18;سلامت;پیاده روی روزانه باعث کم کردن وزن میشود؟;آیا پیاده روی های روزانه از محل خانه تا محل کار باعث کم کردن وزن میشه؟ و آیا میشه به عنوان ورزش آنها را تلقی کرد؟
18;سلامت;بهترین ورزش برای خانم ها;بهترین ورزش برای خانم ها تا هیکلی رو فرم و فیتنسی داشته باشند چیست؟
18;سلامت;تمرینات ورزشی صبح یا بعد از ظهر;برای انجام تمرینات ورزشی (یا رفتن به باشگاه) صبح بهتر است یا بعد از ظهر ؟
18;سلامت;آب کردن چربیها یا ساختن عضله;به نظرتون برای رفتن به باشگاه ابتدا روی ورزش های هوازی تمرکز کنم تا چربی های بدنم آب شود یا روی لیفتینگ تا عضلاتم ساخته شود و در مرور زمان چربی ها خود به خود آب میشود؟
18;سلامت;کم کردن وزن با ال کارنتین;چه میزان وزن میتوان با ال کارنتین کم کرد؟ ایا مصرف ال کارنتین میتونه برای چربی سوزی موثر باشه؟
18;سلامت;چرا عضلات شکم من معلوم نمی شوند;چرا عضلات شکم (سیکس پک) من معلوم نمیشوند؟ آیا ممکن است به فیزیک بدن مرتبط باشد؟
18;سلامت;چگونه میتوان چربی های پهلو و دور کمر را آب کرد;برای از بین بردن چربی های پهلو و دور کمر آیا ورزش خاصی پیشنهاد میشود؟
18;سلامت;عوارض دئودورانت ها;دئودورانت ها و اسپری های زیربغل چه عوارض و زیان هایی برای بدن دارند؟
18;سلامت;جلوگیری از ایجاد سنگ کلیه و رفع درد ناشی از آن;چه کنیم تا از ایجاد سنگهای کلیوی جلوگیری کنیم؟ و در صورت ابتلا چگونه از درد ناشی از آن خلاص شویم؟
18;سلامت;رطوبت;"<p><span style=""color:rgb(0, 0, 0); font-family:tahoma,sans-serif,arial,helvetica"">رطوبتی که در مناطق گرم و مرطوب بر سطح بدن می نشیند علت واقعی اش چی می تونه باشه به نظرتون در اثر تعریق ه یا اختلاف دما؟ برای این که این مشکل برامون پیش نیاد میشه کاری براش کرد؟</span></p>"
18;سلامت;چگونه سریع به خواب برویم;من در خوابیدن مشکل دارم و شب ها دیر به خواب میرم برای اینکه زودتر خوابم ببره چه پیشنهاداتی دارید؟
18;سلامت;چطور جلوی سکسکه را بگیریم;برای اینکه سکسکه امون رو قطع کنیم سریع ترین راه حل بنظرتون چیه؟
18;سلامت;انجام ورزش هوازی در خانه;من وقت نمیکنم که پارک یا باشگاه برم و ورزش های هوازی انجام بدم آیا تمرینی سراغ دارید که جایگزین دویدن و دوچرخه باشه و بشه اون رو در خانه انجام داد؟
18;سلامت;حجامت یا خون دادن کدام بهتر است;من میرم طب سنتی میگن حجامت بهتره بعد میرم خون بدم میگن بیا خون بده حجامت خونتو هدر میریزن بیرون ولی اینجوری کمک به دو نفر هم میکنی به نظر شما کدومش بهتره؟
18;سلامت;درد آرنج پس انجام حرکات ورزشی;جدیدا بعد از اینکه حرکات ورزشی انجام میدم آرنج ام خیلی تق تق میکنه و بعد یه مدت که سنگین کار میکنم درد میگرن ولی بعد از یه مدت هم خوب میشن بنظر شما آیا این طبیعی است یا باید برم پیش دکتر؟
18;سلامت;جراح خوب برای لیزیک چشم;من میخواستم چشمامو لیزیک کنم، میخواستم بدونم مطب یا بیمارستان خوب در تهران برای اینکار کجاست؟
18;سلامت;آیا خوردن میوه جات هم باعث چاقی می شود؟;آیا خوردن میوه ها هم آدم را چاق میکند؟ چه میوه هایی بهتر هستند؟
18;سلامت;کشیدن دندان عقل با جراحی;آیا کشیدن دندان عقل همیشه نیاز به جراحی داره یا بدون جراحی هم می شه دندان عقل رو کشید؟
18;سلامت;سرفه کودکان بیش از دو هفته;سلام کسی در مورد سرفه های اخیر در بچه ها خبر داره؟ من چند مورد در آشنایان دیدم که با نسخه دکتر خوب نشدند. تشکر.
18;سلامت;میوه و سبزیجات بخوریم یا نه؟;سلام دوستان من همیشه شنیدم که میوه و سبزی بخوریم برای سلامتی خوبه اما مدتی هم هست که میشنوم بهتره نخوریم چون  سم بیشتر از حد مجاز به اونها میزنند و سیزی ها هم ممکنه با فاضلاب رشد کرده باشه. کسی میدونه بالاخره برای سلامت بهتره که مصرف کنیم با نه؟ تشکر.
18;سلامت;امواج موبایل دیتا و وایفای;سلام بچه ها کسی میدونه که امواج موبایل دیتا برای اینترنت خطر بیشتری برامون داره یا امواج وایفای؟ ممنون.
18;سلامت;گل مژه و راه های درمان آن;گل مژه چیست و چرا به وجود می آید؟ و چطور میتوان آن را از بین برد؟ کسانی که مرتب گل مژه در میارند دچار چه مشکلی هستند؟
18;سلامت;کاربرد لوزه و چرایی برداشتنش;وظیفه لوزه چیست؟ و اگر وظیفه ای دارد چرا رایج است وقتی که زیاد متورم و دردناک می شود برش می دارند؟
18;سلامت;آیا نیازی به خوردن ممکل های  روغن ماهی  با غذا وجود دارد ؟;آیا نیاز است که  ممکل های روغن ماهی با غذا مصرف شوند ؟یا اگر آنها با شکم خالی مصرف شوند هم به همان خوبی عمل می کنند ؟
18;سلامت;در این وضعیت چه اتفاقی در بخش اورژانس می افتد؟;یک بیمار به  بخش اورژانس یک بیمارستان (نزدیک ترین به آنها ) با یک زخم گسترده و نیاز ضروری به عمل (بدلیل خون ریزی داخلی) برده می شود . با این حال هیچ جراحی (در هیچ تخصصی)در دسترس( کشیک) نیست. اینجا چه اتفاقی می افتد؟آیا راهی وجود دارد که بیمار بتواند تثبیت شود و بعد به مرکزی که جراحی می تواند در آن  انجام شود منتقل گردد؟
18;سلامت;آیا پیچیدن حوله گرم به دور گلو باعث می شود که از گلودرد و سرماخوردگی خلاص شویم؟;من واقعا مشتاق هستم بدانم که آیا پیچیدن یک حوله گرم دور گردن به خلاص شدن از گلو درد کمک خواهد کرد ؟اگر بله چرا ؟
18;سلامت;چرا باید در زمان خوردن آنتی بیوتیک ها از شیر اجتناب شود ؟;"<p><span style=""font-family:arial,helvetica,sans-serif"">من آنتی بیوتیک ها (مخصوصا آموکسی سیلین کلووولانات)را&nbsp; برای مبارزه با عفونت گوش&nbsp;&nbsp; مصرف می کنم.درزمان تجویز آنتی بیوتیک هایم ، دکترم به من گفت که چند روز از خوردن محصولات شیر پرهیز کنم ،سپس فقط ماست بخورم تا این که آنتی بیوتیک ها کاملا تمام شوند. صادقانه بگویم ، من درحال فکر کردن در مورد نادیده گرفتن این توصیه و صرفه جویی در محصولات شیری که می خورم هستم . در یک روز معمولی، من چند لیوان شیر&nbsp; می خورم، ازکاسه ی بلغور جو دوسر با شیر می خورم، غذاهای زیادی با پنیر می خورم، و شب &nbsp;بستنی می خورم.</span></p><pre><span style=""font-family:arial,helvetica,sans-serif"">برداشتن همه ی این ها برای چند روز چیز زیادی برای خوردن برای من باقی نمی ماند .</span></pre><pre><span style=""font-family:arial,helvetica,sans-serif"">چه اتفاقات بدی می افتد اگر زمان آنتی بیوتیک محصولات شیر خورده شود؟</span></pre><pre><span style=""font-family:arial,helvetica,sans-serif"">آیا فقط این است که، از آنجا که باکتری های روده من ضعیف می شود، من ریسک مشکلات هضم را پیدا می کنم؟ یا می تواند عواقب شدیدتری هم داشته باشد؟</span></pre>"
18;سلامت;چه غذا های سالمی برای خوردن در بین وعده های غذایی که فرد گرسنه می شود وجود دارد؟;من  به دلایلی خیلی سریع گرسنه می شوم.این منجر به عادت ناسالم خوردن اسنک برای از بین بردن گرسنگی می شود.چه غذاهای سالمی وجود دارند تا در بین وعده ها  خورده شوند تا گرسنگی از بین برود؟
18;سلامت;آیا دریافت پتاسیم زیاد از نوشیدنی های ورزشی خطرناک / کشنده است؟;من همیشه می دانستم که نوشیدنی های ورزشی به شما کمک می کنند تا پتاسیم از دست رفته از ورزش را جایگزین کنید. ما من همچنین می دانم که پتاسیم بیش از حد در جریان خون شما خوب نیست و برای قلب شما بد است. بنابراین آیا نوشیدن بیش از حد ای نوشیدنی های ورزشی می تواند برای شما خطرناک باشد؟ چه اتفاقی می افتد اگر شخصی یک گالن نوشیدنی ورزشی  را یک روز در  ماه بخورد؟
18;سلامت;چگونه می توان شیوه ی مناسب تری برای تنفس CPR یافت ؟;بحثی طولانی در مورد زننده بودن تنفس CPR وجود دارد که مردم را از انجام CPR به طور کامل ناامید می کند. من داشتم در باره ی این که که چه کاری می توان انجام داد تا آن را کمتر زننده کند فکر می کردم،با این  فرض که فرد تجهیزات معالجه ندارد تا از آن استفاده کند. بدیهی است که ماسک صورت مینیاتوری وجود دارد، اما اکثر مردم آن را به همره خود نمی آورند. اگر CPR یک کار دو نفره باشد، فردی مسئول فشار دادن است، می توانم تصور کنم که به شخص دوم گفته می شود که صورت را با یک دستمال تمیز کند (فرض کنید که شروع با تاخیر بهتر از شروع نیست) و سپس شروع به تنفس به نفر دوم کند. من هرگز CPR را در یک شرایط از زندگی واقعی انجام نداده ام .
18;سلامت;علل تنبلی چشم در کودکان;دلایل تنبلی چشم در کودکان چه چیزهایی هست؟ لطفا راهنمایی کنید
18;سلامت;چه تفاوتی بین استرس و هیجان وجود دارد؟;"<p><span style=""font-size:12px"">من داشتم به این فکر می کردم که شاید هیجان هم برای بدن شما بد باشد .من می دانم که هیجان نیز از قسمت های مشابهی استفاده می کند.و زمانی که من هیجان زده هستم نمی خواهم چیزی بخورم وجرات پیدا میکنم. برای استرس یا اضطراب نیز&nbsp; به همین شکل است.</span></p>"
18;سلامت;عادت های  سالم: بوی بد در بطری آب;"<p><span style=""font-size:14px"">من این عادت را دارم که در زمان خواب یک بطری آب در نزدیکی خودم قرار می دهم.چند وقت پیش از یک بطری پلاستیکی برای این کار استفاده کردم که هر روز و یا هر دو روز یکبار آن را پر می کردم.در جایی خواندم که پلاستیک باعث رشد باکتری ها می شود (و به صورت کلی خیلی سالم نیست .) و تصمیم گرفتم که بطری پلاستیکی را با فولاد ضد زنگ عوض کنم.این بطری یک چوب پنبه ای داشت که من هر بار بعد از استفاده آن را می بستم.مشکل این است که آب بعد از یک روز بوی بسیار بدی پیدا می کند.آب بوی عجیبی پیدا می کند که قابل توصیف نیست.بو شاید شبیه کپک باشد.من بطری را با صابون و آب داغ تمیز کردم.اما بو بعد از یک روز برگشت.فکر کردم که شاید باید بطری را بدون چوب پنبه نگه دارم ؟سالم ترین راه برای نگه داری یک بطری آب نزدیک خود با کمترین پیامد ها همانند بوی بد و رشد باکتری چیست؟&nbsp;</span></p><p>&nbsp;</p>"
18;سلامت;داروی کلونازپام و بارداری;"<p><span style=""font-size:14px"">همسر من در دوران بارداری در حال مصرف کلونازپام می باشد این چه خطراتی را می تواند به دنبال داشته باشد؟ دقیق تر بگویم ،من در حال جستجو به دنبال تحقیقات اخیر هستم. خیلی جستجو کرده ام و به خاطر چیز هایی که خوانده ام گیج شده ام.</span></p>"
18;سلامت;در زمان خرید مسواک برقی چه مواردی را باید در نظر داشت ؟;"کدام معیار باید هنگام خرید یک مسواک برقی (از دیدگاه پزشکی، یعنی نادیده گرفتن معیارهای غیر پزشکی مانند قیمت، باتری، مدت عمر یا ضمانت نامه)مورد توجه قرار بگیرد ؟

برخی از ایده های معیار:

1.تعداد دور برس در دقیقه

2.حالت ارتعاش

3. شکل برس

اگر سوال خیلی گستره است برای من مشکلی نیست که هر معیار را در یک سوال بپرسم.(البته من نسبت به همه معیار ها آگاه نیستم.)"
18;سلامت;خواص میوه زالزالک ؟؟؟؟؟;یکی از میوه های پاییزی میوه ی زالزاک است، این میوه چه خواصی دارد؟
18;سلامت;آیا می شود  دندان ها را بدون استفاده از روکش  سفید تر از حالت طبیعی کنیم ؟;"<p><span style=""font-size:14px"">دندان های من در بعضی از نقاط تقریبا زرد هستند.من به دنبال راه هایی هستم که به صورت مصنوعی قسمت های زرد را بدون روکش یا رزین سفید کنم. به زبان دیگر اگر آن ها به صورت طبیعی سفید نشوند می خواهم تا آن ها را به صورت مصنوعی سفید کنم.البته از روکش اجتناب می کنم چرا که روکش دندان های مرا سفید نمی کند و فقط دندان مرا می پوشاند و در واقع تقلبی هستند.من نوعی اپوکسی می خواهم که به دندان من جذب شود و رنگ&nbsp; آن را از زرد تغییر دهد. یا برخی روش های علمی دیگر که این کار را بدون روکش، رزین یا ایمپلنت انجام می دهند.همان طور که گفته شد من تمام راه های حرفه ای ممکن&nbsp; را برای سفید کردن بکار برده ام اما هیچ کدام دندان های مرا خیلی سفیدد نکرده اند .</span></p>"
18;سلامت;رابطه بین آب گاز دار و کرم خوردگی دندان چیست ؟;"<p><span style=""font-size:14px"">مصرف آب گازدار&nbsp; دارای شکر چگونه باعث کرم خوردگی دندان می شود ؟آیا خود آب گاز دار باعث خرابی دندان می شود؟</span></p>"
